SongNumber,SongID,ArtistFamiliarity,ArtistHotness,ArtistID,ArtistLocation,ArtistName,AlbumName,AlbumID,SongHotness,Title,Danceability,Duration,Energy,KeySignature,KeySignatureConfidence,Loudness,Mode,Tempo,TimeSignature,TimeSignatureConfidence,Year
1,SOMZWCG12A8C13C480,0.581793766,0.401997543,ARD7TVE1187B99BFB1,California - LA,Casual,Fear Itself,300848,0.60211999,I Didn't Mean To,0,218.93179,0,1,0.736,-11.197,0,92.198,4,0.778,0
2,SOCIWDW12A8C13D406,0.630630038,0.417499645,ARMJAGH1187FB546F3,Memphis TN,The Box Tops,Dimensions,300822,nan,Soul Deep,0,148.03546,0,6,0.169,-9.843,0,121.274,4,0.384,1969
3,SOXVLOJ12AB0189215,0.487356791,0.343428378,ARKRRTF1187B9984DA,,Sonora Santanera,Las Numero 1 De La Sonora Santanera,514953,nan,Amor De Cabaret,0,177.47546,0,8,0.643,-9.689,1,100.07,1,0,0
4,SONHOTT12A8C13493C,0.630382334,0.454231157,AR7G5I41187FB4CE6C,London England,Adam Ant,Friend Or Foe,287650,nan,Something Girls,0,233.40363,0,0,0.751,-9.013,1,119.293,4,0,1982
5,SOFSOCN12A8C143F5D,0.651045661,0.401723686,ARXR32B1187FB57099,,Gob,Muertos Vivos,611336,0.604500739,Face the Ashes,0,209.60608,0,2,0.092,-4.501,1,129.738,4,0.562,2007
6,SOYMRWW12A6D4FAB14,0.535292736,0.385470551,ARKFYS91187B98E58F,,Jeff And Sheri Easter,Ordinary Day,41838,nan,The Moon And I (Ordinary Day Album Version),0,267.7024,0,5,0.635,-9.323,1,147.782,3,0.454,0
7,SOMJBYD12A6D4F8557,0.556495602,0.261941177,ARD0S291187B9B7BF5,Ohio,Rated R,Da Ghetto Psychic,25824,nan,Keepin It Real (Skit),0,114.78159,0,1,0,-17.302,1,111.787,1,0,0
8,SOHKNRJ12A6701D1F8,0.801136447,0.605507136,AR10USD1187B99F3F1,Burlington Ontario Canada,Tweeterfriendly Music,Gin & Phonic,8876,nan,Drop of Rain,0,189.57016,0,4,0,-11.642,0,101.43,3,0.408,0
9,SOIAZJW12AB01853F1,0.426667857,0.332275747,AR8ZCNI1187B9A069B,,Planet P Project,Pink World,358182,0.265861049,Pink World,0,269.81832,0,4,0.717,-13.496,1,86.643,4,0.487,1984
10,SOUDSGM12AC9618304,0.550513698,0.422705641,ARNTLGG11E2835DDB9,,Clp,Superinstrumental,692313,nan,Insatiable (Instrumental Version),0,266.39628,0,7,0.053,-6.697,0,114.041,4,0.878,0
