ARTISTID,ARTISTNAME,ARTISTHOTNESS
ARRH63Y1187FB47783,Kanye West,1.0825026
ARF8HTQ1187B9AE693,Daft Punk,1.0212556
ARTDQRC1187FB4EFD4,Black Eyed Peas,1.005942
ARS54I31187FB46721,Taylor Swift,0.92241246
ARJ7KF01187B98D717,Coldplay,0.91605324
ARKU3Z61187FB51DCA,Rihanna,0.90820265
ARTH9041187FB43E1F,Eminem,0.87923676
ARBS1OC1187FB44CAF,T.I.,0.8728389
ARS54I31187FB46721,Taylor Swift,0.87244725
ARPDVPJ1187B9ADBE9,Usher,0.8546378
ARXOTQH1187FB57084,Chris Brown,0.85218626
ARPDVPJ1187B9ADBE9,Usher,0.8512339
ARUDYKB11F4C83C269,Lil Wayne,0.8434308
ARF5M7Q1187FB501E8,Maroon 5,0.8433803
AR6XZ861187FB4CECD,The Beatles,0.8404627
ARX6TAQ11C8A415850,Lady GaGa,0.83844775
AR91C8S1187B990901,Bruce Springsteen,0.83809555
ARF2EHS1187B994F4E,Kings Of Leon,0.83771473
ARXOTQH1187FB57084,Chris Brown,0.8303568
ARVG4OK1187B9B6BD3,The Killers,0.8289063
ARCGJ6U1187FB4D01F,Akon,0.82677704
ARUJ5A41187FB3F5F1,U2,0.8256391
AR52EZT1187B9900BF,Alicia Keys,0.8216485
ARVG4OK1187B9B6BD3,Killers,0.8195883
ARLGIX31187B9AE9A0,R. Kelly & Jay Z,0.8156815
ARV3CRH1187B9A1B21,Green Day,0.8123078
ARXPPEY1187FB51DF4,Michael Jackson,0.80850214
ARTH9041187FB43E1F,Eminem,0.80483043
AR6PJ8R1187FB5AD70,Shakira,0.8042198
ARW7K0P1187B9B5B47,Barenaked Ladies,0.79427075
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.79424816
ARML3X41187FB35F2E,Jason Mraz,0.7934126
ARR3ONV1187B9A2F59,Muse,0.791501
ARQUMH41187B9AF699,Linkin Park,0.791143
ARF2EHS1187B994F4E,Kings Of Leon,0.78880596
ARZENOX1187B98A645,John Mayer,0.78813773
ARZENOX1187B98A645,John Mayer,0.7876794
ARKSZW81187B9B695D,Mariah Carey,0.7870055
ARLGIX31187B9AE9A0,Jay-Z,0.78141236
ART5MUE1187B98C961,Metallica,0.7803341
ARPAAHK1187B9ABB00,Nickelback,0.779968
ARQUMH41187B9AF699,Linkin Park,0.77911866
AR52EZT1187B9900BF,Alicia Keys,0.7786736
ARDVZTE1187FB5A0A1,Bon Jovi,0.7763033
AR633SY1187B9AC3B9,Weezer,0.77616775
ARFCUN31187B9AD578,The Rolling Stones,0.77603763
ARBAW9R1187B98FB6B,Natasha Bedingfield,0.7696743
ARXPPEY1187FB51DF4,Michael Jackson,0.7665455
ARKR75V1187FB3D4D5,My Chemical Romance,0.76607615
ARML3X41187FB35F2E,Jason Mraz,0.7553348
ARGVJPK1187B9909EA,Josh Groban,0.7551499
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.7529279
ARVXU2X1187B9AE6D8,Evanescence,0.75279444
ARR3ONV1187B9A2F59,Muse,0.75042653
ARUJ5A41187FB3F5F1,U2,0.7503115
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.7490624
ARZENOX1187B98A645,John Mayer,0.7403735
AR0S7TA1187FB4D024,Christina Aguilera,0.7378841
ARFCUN31187B9AD578,The Rolling Stones,0.7357657
ARH861H1187B9B799E,Johnny Cash,0.73520887
ART5MUE1187B98C961,Metallica,0.7261744
AR0S7TA1187FB4D024,Christina Aguilera,0.7257461
ARDVZTE1187FB5A0A1,Bon Jovi,0.71889144
AR6PJ8R1187FB5AD70,Shakira,0.7172099
ARM7EDF1187B9B3FA1,Guns N' Roses,0.71366984
ARKQQZA12086C116FC,B.o.B,0.71253496
ARUTEVU1187B9ACAF9,Lifehouse,0.7108791
ARVXU2X1187B9AE6D8,Evanescence,0.70575756
ARNNM56119B86686EA,Luke Bryan,0.70259476
ARNAIMI1187FB5733C,Rick Ross,0.70140475
ARZWK2R1187B98F09F,Rise Against,0.6961611
ARC8CQZ1187B98DECA,Jack Johnson,0.6941285
AR0WLH6119B8669027,Owl City,0.6935247
